Total_Visits_Last_Year,Avg_Session_Duration_Minutes,Total_Clicks_On_Ads,Credit_Score,Loyalty_Points,Avg_Discount_Used,Total_Refund_Amount,Monthly_Spending_Estimate,Shipping_Distance_KM,Complaints_Count,Preferred_Contact_Time,Customer_Tier,Communication_Preference,Favorite_Product_Category,Special_Notes
-6.979494547,-14.11038408,-21.21105855,-14.82806803,-8.634517808,,-15.77852202,-17.03898124,-3.873346277,-4.223307046,Morning,,,,New Customer
-2.274562001,3.909609953,-31.5396389,-20.08972663,8.595937939,1.186422079,-6.258629573,-9.817426302,-23.92574693,2.167359089,Evening,,SMS,,Long-Term
-10.75489764,-2.512101216,,-2.513270506,17.10949288,3.482196747,-0.81750208,-4.44376546,-7.455872905,-21.46032057,,Bronze,Phone,Electronics,New Customer
2.494926004,12.04206296,14.04951883,-5.099391137,-2.63984629,15.98409801,6.745450567,-4.326242054,-2.217052556,-10.57311582,,Gold,Phone,Clothing,Long-Term
-9.538925224,10.77784303,1.774416049,11.44032673,-18.59554201,3.65994169,12.99224503,8.818109779,28.89872394,-3.447089622,Evening,Platinum,SMS,Beauty,
-10.7254307,-8.865972742,-13.85495123,,-11.42975961,5.106305433,7.578454032,-14.43477869,3.004911987,-5.505095996,,Gold,,Home,New Customer
4.719520058,-12.21621971,8.74555084,8.717729541,-16.69942871,8.423742286,3.987644829,3.271955455,12.62308695,13.18226364,Morning,,Email,Clothing,
0.252732799,-9.158660138,-16.6090757,6.165066378,-9.214797318,11.09907253,-6.215741485,5.844096769,11.6241378,3.230218513,,,,Clothing,
-5.927741671,-0.446989458,3.067555884,-14.37341932,-4.547823053,-2.85222255,6.78996722,-25.42902142,4.548400789,-20.08391941,Evening,Bronze,,Electronics,
-2.575922497,2.217030818,-20.80395192,2.250730465,3.317943758,18.8085853,11.21844119,-2.964629839,,7.416347699,Morning,Bronze,,Beauty,
-1.931505476,-7.888306102,-8.527728309,,10.46412325,-1.003563373,-0.743491759,-6.725149317,15.49539298,-3.69494549,Morning,Bronze,Email,,New Customer
-1.513110951,20.77393538,-10.44113435,25.795662,12.4881166,8.194736212,-10.43642874,-6.866239479,3.783219604,-2.365796828,,Platinum,Phone,Electronics,
-4.294843434,0.26601069,1.991074199,11.98634901,-22.44027066,-12.75050186,-2.901793234,-21.87093861,3.115026,-17.50889574,Morning,Silver,SMS,Sports,
-0.934561972,0.280426629,-2.213034963,21.07718846,9.512538846,3.522788503,,-5.041137221,-14.39098819,-14.30350304,,Silver,,Clothing,New Customer
10.66558589,-11.85975014,1.311556993,-14.23792565,-0.310997822,3.367421288,16.41761485,3.778123813,5.565008815,-2.929099443,,,,Electronics,
0.409892339,20.27867822,5.562393636,,-424.0502094,0.926093498,19.71160583,12.6089332,-9.829140673,-8.888021992,Afternoon,,Phone,Beauty,
1.737936338,7.763739289,-11.46083805,,4.587977162,-22.45961139,-2.060231683,0.223137273,-10.69039848,36.00857515,,,,Clothing,VIP
-5.502864609,5.338755219,7.864617145,-5.254116746,14.04455631,-5.116707978,-7.655073117,-10.36993898,3.998342712,7.253396417,,Bronze,SMS,Beauty,
-23.4592248,-256.7596872,-17.27546285,-11.83216652,6.042620316,9.753366451,2.096358755,-2.327311304,11.4341909,-365.251033,,Gold,,,New Customer
13.28186257,-9.592712285,-21.8805329,-7.739866692,-4.83565944,-3.401878699,-11.29476833,-1.212762523,-4.940580703,10.720868,Afternoon,Gold,Email,,Long-Term
-13.94822718,-19.24320889,-1.977199029,-11.1771278,0.593688416,-0.739486895,0.672719794,-10.06982131,-758.2950202,16.61742083,Morning,Gold,Email,Home,
24.17749992,-3.73375213,-7.905736496,-7.893277416,13.38864605,6.904207823,4.228702115,-12.66800502,10.22179184,-1.221790202,Afternoon,Gold,,Clothing,VIP
5.716917417,1.295024166,13.75109543,1.868662834,1.622075069,,-4.782661081,-9.479229034,4.491524897,-4.820228688,Evening,,SMS,Beauty,New Customer
11.22453236,,1.43347594,-11.8025653,-13.13202506,5.427504645,2.37391306,23.01383771,1.706552331,-4.577105216,,,Email,Clothing,New Customer
-5.745524923,6.660727915,-17.27983009,-3.888170658,,-9.140217381,-12.62483653,-4.204714435,-5.498508351,-4.319348976,,Platinum,Phone,Sports,
-1.284146023,12.37888182,7.262602181,-10.68665818,6.811152223,-10.29388374,-11.28753769,-11.16865841,14.04204802,5.558174313,,Platinum,SMS,Electronics,
-4.351433659,17.46143434,0.619228357,-6.739223678,-11.06404109,-18.33369836,-0.852782269,,-2.759259889,-9.040884973,Evening,Gold,Phone,Clothing,
,18.16889869,4.946316275,6.275744952,10.11117124,2.100080581,-6.577707932,7.20078057,-15.76639028,-3.030535687,Morning,,Email,Home,New Customer
2.922655597,6.26275625,13.83473991,0.720561665,12.75750216,12.30041548,-10.85349889,-7.80764232,-3.212144097,7.321801298,,Silver,SMS,Clothing,Long-Term
20.1940267,-4.317551224,6.813639638,,13.97150871,28.49573167,1.952753455,0.422385125,8.064440754,42.40716977,Afternoon,Platinum,,,Long-Term
6.805145062,-8.220981789,9.16000096,-19.62444631,6.028173382,-3.512041124,-2.467694371,-3.82654661,16.08836827,16.6048591,Afternoon,Gold,SMS,Sports,Long-Term
17.55724647,-2.96101097,-5.838118425,-2.781501695,7.341068995,-3.101202909,-0.942963176,-2.712432973,4.644441572,-4.301169448,,Bronze,,Home,Long-Term
-5.973044126,10.1338275,6.123785863,-4.710414399,-9.843248407,0.857482574,-3.824602413,1.879698875,-13.07817633,-10.72671664,,Platinum,Phone,Electronics,VIP
-7.001055595,-10.1366359,-4.710084052,8.242605828,-12.75765148,5.424484644,6.253247715,-17.66933741,253.7743686,3.520922521,Afternoon,Platinum,,Sports,New Customer
-14.6757526,24.69698967,-9.363750529,-3.421221019,-16.38912903,-0.88299786,11.15181326,3.279204251,3.512941334,6.344590251,Morning,Platinum,Phone,Clothing,New Customer
4.018715365,1.747387607,-1.543306272,-7.75690133,-3.057376128,14.414399,-8.143797037,-11.0934423,6.129324472,2.242674566,,Bronze,,Beauty,
9.634878387,-2.595022709,,4.467749737,4.055145202,-3.411959375,,-4.832271621,-12.76481693,6.14478945,,Platinum,Phone,,New Customer
-6.757825243,0.944550081,-0.343653293,-7.959043493,6.525256191,1.912861991,14.25218632,-12.09637555,-4.821082751,2.289954083,Morning,Silver,,Clothing,Long-Term
-4.682537014,1.936092598,-8.157317584,-3.626298588,8.157482294,-16.73148747,-0.552617266,-14.73466182,-5.597469559,-14.23811306,Morning,Platinum,SMS,Beauty,Long-Term
9.538497849,,44.97075153,6.565565518,3.167725437,7.752167378,-9.41245452,,-7.706588548,-8.521127964,Evening,Silver,,Home,
-3.349610891,8.778380052,0.295435837,,-3.287138546,6.911420061,,-4.975740731,17.17929937,1.009742096,Evening,,SMS,Sports,Long-Term
-7.910584722,-12.86193001,-3.676578924,-19.34663276,6.006633556,13.53821227,0.57013507,2.858277485,0.67884108,7.962873589,,Gold,,Home,New Customer
11.92572795,-11.59792744,6.087497467,3.770676126,-4.231581514,-22.64403716,29.04037289,1.175803946,4.710384977,4.122722712,Evening,Silver,Email,Home,
0.158168144,6.866664966,,-0.610429212,-6.391091952,9.094614074,-11.95912002,11.28009868,-2.413055095,,,Platinum,Email,,New Customer
-14.89766951,-15.99311917,,1.914488948,3.121031544,2.920051402,8.410758719,-4.142875246,8.571177675,6.589202995,Morning,Gold,Phone,,Long-Term
3.259995094,10.35909327,2.424926124,12.87694376,-12.59844853,3.628246772,,5.450731314,-2.328668607,16.95955529,,Bronze,Email,Clothing,
8.544894928,-2.700561633,11.3675942,5.205570081,-1.450899506,-7.934782462,-10.97560796,9.314737523,-7.624571148,-2.430893567,Morning,Gold,Phone,Beauty,
-11.07210411,-4.096468103,2.855443823,2.294881809,-0.636522793,6.022696435,11.73871986,3.58347536,-11.82405226,18.8162899,Morning,,,Electronics,New Customer
-0.041399075,-20.33084098,19.97818598,17.62908683,-11.63198606,-2.267068903,9.131458941,-2.836711248,5.069299969,21.61087492,Morning,Bronze,SMS,Beauty,Long-Term
-2.692129405,5.108189785,-8.395269147,17.43855989,-2.240031997,-2.344853713,-5.257884718,-26.60931476,-21.19483238,7.537368486,Evening,Silver,,Electronics,New Customer
-0.510216494,8.036230776,4.539286582,-2.061155274,1.270246991,-0.708966681,9.128965355,13.0086105,-1.386205138,2.125491442,,Silver,,Sports,Long-Term
-2.580261077,-1.138017039,-6.883175054,-13.66619856,11.40525218,,13.04614895,9.500237508,-13.3411609,5.532347029,Evening,Platinum,Email,Sports,
,3.881487138,,19.63363538,,-0.498058911,,-2.515317369,-27.5293784,5.243569552,Morning,Platinum,Phone,Beauty,Long-Term
-16.16318677,6.286141547,6.068270649,1.027581823,-3.256755745,0.249259299,6.314756505,1.960791503,,,Afternoon,,Phone,Home,New Customer
-0.56044313,8.279676525,11.93527138,-18.13723566,-9.050887406,2.246152257,1.536114698,13.02784702,-0.830564622,-20.64441811,Morning,Bronze,,,
5.066651738,-9.796234633,-18.65563106,-8.279902822,13.46528687,-11.77994408,,5.546161856,-8.644502173,9.277855595,,Gold,Phone,,
,0.038300021,-3.794356063,,-12.78356918,7.978247987,1.809045771,-5.960832401,-22.48234991,-2.288466389,Morning,Gold,,,Long-Term
0.522066163,3.982416653,-17.73560826,16.87757113,-11.31547768,-0.231355535,-6.909159094,2.482786322,1.967367473,6.48161568,,,,Sports,VIP
8.519043513,7.839382418,,-7.675480597,9.500346731,-2.713915363,-3.768188273,-14.79234308,-12.78852974,-9.848263871,Evening,Silver,Phone,Electronics,New Customer
-15.04077489,-14.72569117,21.46349616,0.450635956,14.43524633,-14.89944285,-20.57182048,-18.70898056,8.388497338,4.692765137,Evening,Bronze,,Electronics,Long-Term
-10.2729705,-8.783437688,14.11644354,3.057696606,11.83063814,5.302370429,3.342821688,-0.041197178,2.157496246,3.819953262,Morning,Gold,Phone,Sports,
1.855565631,-11.84478864,-8.622123408,-4.069709757,-2.260882844,3.143262409,-9.447289665,1.460816697,-10.04797449,-18.87159756,,Bronze,,,
-7.710948531,3.682762473,-14.67471411,-8.628553524,18.41144757,20.67487343,4.218712541,-0.920137317,12.06644132,-2.016671381,,Platinum,Email,Home,
-10.28152848,-13.44308343,3.20827436,8.931823717,-10.73803613,4.312485789,-24.51782364,4.262920194,-7.926294322,-13.64083172,Morning,Gold,Phone,Electronics,
-25.75511348,-6.667777029,12.6734315,3.424677553,2.524667991,-7.775406637,7.183036107,-9.085848916,11.16401262,,,Platinum,Phone,Beauty,
16.53072405,-6.026354141,7.011666798,-21.06887391,-11.94132048,14.82091941,,-4.058237114,-0.20607932,2.934059215,,Gold,SMS,Home,VIP
3.804502236,-5.215857442,12.43009561,-1.336144859,13.58772012,-5.252578094,10.05620764,-26.08696994,-5.172423305,2.855050901,Morning,Gold,,Electronics,VIP
-7.132542246,-6.035349951,-13.51060156,-5.824597194,6.552738249,-12.4465774,-16.17991089,7.320895225,2.174865892,-4.745604551,,Bronze,,Sports,
13.99479668,6.882575954,-1.655129552,11.61607949,3.312878802,12.79931333,7.150633922,-10.26122297,12.41304796,1.599657527,,,Phone,,
2.737424662,-5.29207327,-4.273029334,2.469737745,12.97605705,8.04893109,14.32164569,-6.141917347,2.994889981,-16.87613345,,Bronze,SMS,,Long-Term
-1.403720968,8.486739734,-10.39014694,,17.8010041,-0.499530451,-5.172928522,,-18.02059595,-5.639984693,,Gold,SMS,Sports,
-1.41617039,12.83915424,-4.57746751,7.304480447,-1.128387218,-8.782326301,-5.183272131,17.8681238,-6.919626407,-13.85930877,Afternoon,,,Electronics,
-8.7827243,4.890941522,-16.07288859,-2.849637839,10.42386932,,5.636695233,-6.209670549,0.593894716,2.107101912,Evening,,Phone,Home,VIP
3.120473904,1.252325071,-3.242632299,-10.91814984,7.2565356,-4.954821168,3.453731329,1.967161028,11.20789662,6.479263552,,,SMS,Electronics,
-7.977289528,9.656225824,9.006718051,-15.50146983,-0.241382008,-10.2957815,9.457924705,-11.63805991,-0.113533953,16.54003222,Evening,,,Clothing,New Customer
-3.617863847,-1.569112317,6.175691291,3.915579247,5.243558236,-2.593911448,0.706226925,7.543472949,-14.91099374,3.128153236,,Bronze,SMS,Home,VIP
19.07861128,-2.842220319,-3.763102948,-19.70554545,-9.231490389,-104.0218598,6.954436106,2.511234632,-0.789051965,7.992251623,Evening,Gold,Phone,Beauty,
2.068680868,9.008047551,-11.44628889,-9.293982274,15.0015071,-0.948212373,8.522036424,0.288189018,-5.125559332,-5.1364133,Morning,Silver,,Beauty,VIP
-4.905090348,14.89126907,12.14871795,19.42958896,8.609963227,-7.273273526,20.99389187,-5.830259972,-5.134252922,1.741268977,Evening,Gold,,Electronics,Long-Term
0.286961006,1.396229347,-2.162278496,-0.275839879,6.610992966,-21.41070615,-5.531582957,-4.118034361,-12.96378707,3.708827891,,Bronze,SMS,Sports,
4.658685826,-26.29658272,-13.08405919,-6.252538515,2.995824206,6.34897625,-18.04947764,13.73697636,6.218272544,6.87018147,Afternoon,Platinum,Phone,Electronics,New Customer
-5.912548506,28.58521303,-17.2200249,-1.087223032,-7.347598334,-17.89443629,-4.335423779,-5.257881416,-15.32221423,-11.35244918,Evening,Gold,Phone,,
0.313754662,0.389396608,11.73718354,-1.989397718,,6.30545036,12.827359,5.037959756,-8.013291459,-7.738235039,,Platinum,,Beauty,New Customer
-3.821792817,9.580128223,-6.36567072,-3.622781631,-219.6832202,2.225420322,4.550190947,15.56721311,-0.560651155,,,,Email,Electronics,New Customer
0.491445346,10.56485302,-6.730171361,,-10.18006277,13.13957569,1.963111206,-10.68895283,9.451719193,-20.67297238,Morning,,SMS,Clothing,
13.11092234,0.215020911,7.473402259,-2.319450984,16.7421364,6.471413924,-0.223350162,-18.70238644,7.998069259,3.299367574,Afternoon,Platinum,,Home,VIP
-6.78140271,,-0.886238006,12.06727803,-17.55541022,,7.366604497,,6.920791348,-5.615174344,Morning,Bronze,,Clothing,
6.516487953,-7.471512702,-0.84725147,11.30441115,11.12582382,9.987560354,-19.99198201,4.105436984,-13.53796792,-4.804023372,Evening,,Email,,
-2.696882474,2.07044308,-3.338420757,-1.463575763,6.431912189,-6.250278771,-2.599834281,11.32567234,,0.470810809,,Bronze,,,VIP
6.132318262,,16.02585854,5.918216233,12.92983951,-7.567571767,0.465994304,6.359014738,-9.371292506,-6.001494519,,Platinum,,Electronics,
-1.185825445,-18.209711,4.259930963,2.124368509,3.659491045,-7.099297018,-2.655868986,-10.35004933,-0.358016899,12.4442172,Evening,Bronze,Email,Home,VIP
9.41111594,-4.665355938,-20.72757999,5.590980144,,7.473054241,5.268566488,-7.772945167,13.60432344,0.183738279,,Silver,,Electronics,
-17.7270788,,-15.49803746,-8.599226375,12.13252278,-0.675964274,-8.989172918,-7.832778259,-6.640078246,6.316123255,Evening,Gold,,Home,Long-Term
-16.67409824,19.44282965,-23.55681113,11.21697015,7.736850298,-10.89035558,-18.6206845,-0.247490616,-1.23992841,-4.427479572,Afternoon,Bronze,,Sports,
3.70606063,-0.557494458,15.30323147,4.090120846,-4.441113832,14.19431091,3.32096229,,-6.494627403,2.139842244,Afternoon,Bronze,SMS,Beauty,
-3.842233197,1.335181473,9.049827853,-1.233611282,-3.320023587,-2.971109199,6.138783537,-0.410431467,1.893340938,11.31381274,Afternoon,Bronze,Email,Beauty,
1.909059877,-11.5380058,12.22386358,-3.910567494,14.56375204,1.248911246,5.272354669,,5.202024958,4.270636268,Evening,Bronze,SMS,Clothing,
0.819081027,4.414828775,-1.112254816,-13.79571014,15.54105296,0.414348844,23.27476167,-2.218920484,-10.85549615,10.79019871,Evening,Gold,SMS,Beauty,Long-Term
-2.708390493,1.714325463,4.103665113,8.95105567,15.93004044,-12.49913978,-5.333943449,-9.425420709,19.06352353,6.8052296,,Gold,Email,Home,New Customer
,14.35171335,1.590390388,-14.98968479,9.438196742,-7.279384021,3.583390778,-22.38051565,5.491413837,-10.45165878,,,Phone,Electronics,
-1.98972287,-121.1486047,,-5.213778472,17.48836703,5.542835474,-4.923257598,-5.582605448,-2.98835348,-1.272001172,Evening,Gold,,,
7.208346952,8.464277262,-16.48535682,-1.939292989,-16.84956297,1.843300036,1.142956537,6.780575191,-6.378919831,17.34174437,Morning,Bronze,Phone,Beauty,
-23.13511926,-8.897705017,0.932455379,-13.96099508,-12.04870356,-8.964066094,4.82522386,12.92052648,11.90953166,-4.273309429,Evening,,Email,Beauty,VIP
6.687169422,0.220079613,-3.682789506,10.9013253,7.010080339,13.12913592,5.879148588,5.50625138,-13.11342899,-13.31884943,Morning,Bronze,Email,Electronics,Long-Term
-0.491535456,8.726140999,19.28409429,-8.115882458,-4.05334749,-15.46060939,1.443904606,10.33248255,-16.48740734,-7.151762572,Afternoon,Gold,SMS,Sports,
4.259754087,-10.40977618,-8.428370171,-5.903300159,5.159939919,5.649916692,2.336126303,5.654234049,-7.647871362,-9.610415692,,Platinum,,Sports,New Customer
-10.11264106,-1.575000904,7.180869469,-11.72866146,18.16944608,-2.586258278,-3.158590325,,-2.810438201,-5.190247862,,Bronze,,Beauty,
14.17893008,19.74418305,-4.047611001,-13.28277784,1.35075341,10.02772514,-9.469413974,6.988938781,-1.55410533,6.096622731,Morning,Gold,Email,Clothing,Long-Term
-6.335787428,,-3.990160878,4.270134095,-17.16644835,-5.791988354,-15.11530743,3.822512923,13.50158602,7.778908092,,,Phone,Home,
0.763430369,-15.56944557,-0.838858214,6.248028274,9.799684053,-7.113383094,-2.90655966,14.78123693,-15.63644951,-9.192008117,Morning,Platinum,,Beauty,
-7.323492294,1.068407677,1.904752486,,2.084710787,,17.78388076,8.957868417,-6.991950218,-4.264523727,Morning,Silver,,Electronics,New Customer
-3.981235527,9.689272447,-7.028167647,14.46549712,-6.38682571,-1.763698885,-10.36606829,6.89381624,6.021134903,-10.3366043,Afternoon,Bronze,Phone,Clothing,VIP
-7.775284626,6.803520702,-13.33268366,4.804646242,-4.285417228,12.04130217,-2.926099474,-11.12418201,-5.377975464,-12.50884754,,Silver,SMS,,
3.673861342,-2.532147173,16.31561544,-4.753316734,1.862852831,-3.349146977,7.16689782,5.994826835,1.647671156,-11.30388308,,Gold,,Clothing,VIP
2.192994418,-4.647406442,-3.536745889,-14.08859718,4.08120363,13.3670436,,6.223455551,-5.706364122,-24.6140986,Afternoon,Bronze,Email,Electronics,
11.56994092,-7.518127445,1.781422667,-2.241510713,-8.467905424,-13.55292172,9.478066277,0.37008722,7.413375292,17.08662899,Evening,Platinum,,Electronics,
-630.6521511,-1.210909773,1.292183653,-20.40066574,15.82190184,-0.351931423,6.148703235,-3.686836503,10.81598332,-1.69998097,Evening,,,Home,New Customer
2.095459511,-5.959155488,-13.23552908,0.735603002,-11.54159384,19.6691523,5.639822175,1.733352795,-17.16059103,-2.899451069,,Bronze,,Clothing,
-9.53536791,0.104838401,-0.504991708,7.591081755,,1.824908527,-9.730951168,-6.249023887,-8.648275148,7.497760569,Morning,Bronze,,Electronics,Long-Term
-6.512857772,-12.27778393,30.77116675,-9.495451267,-15.33715008,16.58540425,8.061161874,-13.29584563,1.613717022,-4.618632626,,Silver,,Clothing,
-3.143441276,-23.16185177,-3.088954854,16.9680749,-3.746548138,4.849133345,29.80657729,1.286638602,7.197625359,-6.561088923,,Platinum,,Home,
13.94915242,-702.9912506,14.67937838,4.192428153,-11.50122427,-11.70835524,-0.93949587,-3.655018857,-3.483063889,4.052769616,Evening,,,,
7.769693113,10.67594389,4.975117949,3.626505067,-7.787162035,16.85537992,11.73498311,10.02124803,-7.740166403,3.622391498,Morning,Bronze,Phone,Sports,Long-Term
8.985895955,18.42415762,10.9083813,-0.23547177,8.998106501,-13.70925833,-3.071376873,15.77273688,9.168402047,8.850641343,,Platinum,,Clothing,
5.788062676,13.49165817,-3.898237358,-5.280175382,0.87592009,-4.114627683,-10.43578301,8.132108373,-1.519864865,16.6677897,Afternoon,Bronze,Email,Home,
